k,ai,gflops,bandwidth,percent_peak
1,0.250000,556.91,2227.64,0.83
2,0.500000,1100.74,2201.47,1.64
5,1.250000,2632.63,2106.10,3.93
10,2.500000,5090.55,2036.22,7.60
20,5.000000,9640.53,1928.11,14.39
50,12.500000,16475.90,1318.07,24.59
100,25.000000,22038.75,881.55,32.89
200,50.000000,26418.73,528.37,39.43
500,125.000000,28429.64,227.44,42.43
1000,250.000000,29152.19,116.61,43.51
